"Standard deviation"	"Proportion of Variance"	"Cumulative Proportion"
"1"	263.722379470549	0.377037572109194	0.377037572109194
"2"	200.316450706036	0.217532370355892	0.594569942465085
"3"	154.68574739461	0.129715316338925	0.72428525880401
"4"	111.507025384709	0.0674054667115504	0.791690725515561
"5"	91.9064600112765	0.0457912750111453	0.837482000526706
"6"	84.122073152692	0.0383628261167298	0.875844826643436
"7"	69.5270815007847	0.0262058745871662	0.902050701230602
"8"	61.9803921662807	0.0208256851671608	0.922876386397762
"9"	49.5854778839451	0.013329064370081	0.936205450767844
"10"	46.9481135799892	0.0119488731925793	0.948154323960423
"11"	37.5609286979404	0.00764827160949788	0.955802595569921
"12"	32.5226459869263	0.00573406224010271	0.961536657810023
"13"	29.6820207079393	0.00477614591660143	0.966312803726625
"14"	29.1732459953389	0.00461381489989541	0.97092661862652
"15"	21.8185806082297	0.00258073640349219	0.973507355030012
"16"	20.1164164420962	0.00219377404677817	0.975701129076791
"17"	18.9769451862907	0.00195228521525084	0.977653414292041
"18"	17.9885256100653	0.00175421086540072	0.979407625157442
"19"	15.8975855630108	0.00137010231842724	0.980777727475869
"20"	14.9516943105901	0.00121191309328251	0.981989640569152
"21"	14.7363588804315	0.00117725634031518	0.983166896909467
"22"	14.5060656478072	0.00114074857813658	0.984307645487604
"23"	13.9060402325198	0.00104832905365168	0.985355974541255
"24"	13.1335104189486	0.000935087615049495	0.986291062156305
"25"	12.6184562016235	0.000863183456666647	0.987154245612971
"26"	12.0909128917588	0.00079251746863502	0.987946763081607
"27"	11.0164388146238	0.00065792003609762	0.988604683117704
"28"	10.5799298055968	0.000606814893767213	0.989211498011471
"29"	10.2131871607865	0.00056547477992528	0.989776972791397
"30"	9.89788665594628	0.000531099156335596	0.990308071947732
"31"	9.57656956068702	0.000497176501687507	0.99080524844942
"32"	8.95023065356424	0.000434269285416707	0.991239517734836
"33"	8.58251839709916	0.000399319156532054	0.991638836891369
"34"	8.30087661515595	0.000373541257160267	0.992012378148529
"35"	8.18051581388157	0.000362787267128774	0.992375165415658
"36"	7.72112065718855	0.000323185105491595	0.992698350521149
"37"	7.65033523954255	0.000317286498500784	0.99301563701965
"38"	7.36423535417983	0.000293999084771782	0.993309636104422
"39"	7.25237441560859	0.00028513537003827	0.99359477147446
"40"	7.03825786244263	0.000268547434202203	0.993863318908662
"41"	6.81846695099862	0.000252036905472965	0.994115355814135
"42"	6.70929529072918	0.000244030703612769	0.994359386517748
"43"	6.46717467061931	0.000226735665919477	0.994586122183667
"44"	6.37932397386224	0.000220617508533867	0.994806739692201
"45"	6.31921693320251	0.000216479705367627	0.995023219397569
"46"	6.20786220507899	0.000208917488253286	0.995232136885822
"47"	6.12987178848842	0.000203701131308491	0.995435838017131
"48"	5.90861236809866	0.000189261229669134	0.9956250992468
"49"	5.88424693093913	0.000187703529081175	0.995812802775881
"50"	5.77857614770194	0.000181022409068389	0.995993825184949
"51"	5.59933620956855	0.000169966663678325	0.996163791848628
"52"	5.54252898968448	0.000166535415790225	0.996330327264418
"53"	5.40965058920289	0.000158645986159607	0.996488973250578
"54"	5.27688929519212	0.000150954695096043	0.996639927945674
"55"	5.19327317027378	0.000146208625345068	0.996786136571019
"56"	5.15884853767714	0.00014427670443906	0.996930413275458
"57"	5.01245280653174	0.000136204436043766	0.997066617711502
"58"	4.86796826919888	0.000128465389046817	0.997195083100548
"59"	4.84636508261993	0.000127327705498488	0.997322410806047
"60"	4.7290513370089	0.000121237986823876	0.997443648792871
"61"	4.62101472310739	0.000115761824634461	0.997559410617505
"62"	4.55356826598626	0.000112407260231508	0.997671817877737
"63"	4.53495773730302	0.000111490316208862	0.997783308193945
"64"	4.41989668981842	0.000105904617417814	0.997889212811363
"65"	4.28415117512816	9.94993477574025e-05	0.997988712159121
"66"	4.24238933083387	9.75689660726202e-05	0.998086281125193
"67"	4.15732411207943	9.36954340332433e-05	0.998179976559227
"68"	4.1090274765037	9.15311143449962e-05	0.998271507673572
"69"	4.02889467556269	8.79959100735174e-05	0.998359503583645
"70"	3.9813016592278	8.59292119254164e-05	0.998445432795571
"71"	3.91343967937525	8.30248208713961e-05	0.998528457616442
"72"	3.90070276168799	8.24852651218663e-05	0.998610942881564
"73"	3.87653003407495	8.14661073604666e-05	0.998692408988924
"74"	3.7803846060954	7.74751866310995e-05	0.998769884175555
"75"	3.69212701020444	7.3899912462752e-05	0.998843784088018
"76"	3.66623026242408	7.2866873370253e-05	0.998916650961388
"77"	3.59172984118556	6.99355484240748e-05	0.998986586509812
"78"	3.57193335127032	6.91667472978508e-05	0.99905575325711
"79"	3.53560381689077	6.77669355621206e-05	0.999123520192672
"80"	3.44324601424106	6.42727327878494e-05	0.99918779292546
"81"	3.43185244109117	6.38480843547886e-05	0.999251641009815
"82"	3.33064397679117	6.01377372311612e-05	0.999311778747046
"83"	3.30769485303405	5.93118586887616e-05	0.999371090605735
"84"	3.26199580469874	5.76842772219684e-05	0.999428774882957
"85"	3.22231142290146	5.62892783324101e-05	0.999485064161289
"86"	3.21365955144601	5.59874119194279e-05	0.999541051573209
"87"	3.16306745577327	5.42384870497594e-05	0.999595290060258
"88"	3.05113711319162	5.04677691899736e-05	0.999645757829448
"89"	3.04770448627824	5.03542773554483e-05	0.999696112106804
"90"	2.97492346697652	4.79780125915917e-05	0.999744090119395
"91"	2.90322875890298	4.56933683186012e-05	0.999789783487714
"92"	2.88836943760215	4.52268292084073e-05	0.999835010316923
"93"	2.84120853749792	4.37619717096352e-05	0.999878772288632
"94"	2.82303752769684	4.32040004452152e-05	0.999921976289077
