uc032pqi.1	chr21	+	5022492	5035652	5022679	5034592	6	5022492,5025008,5027934,5032052,5033407,5034581,	5022693,5025049,5028225,5032217,5033443,5035652,	A8MUZ1	uc032pqi.1
uc032pqj.1	chr21	+	5022492	5036782	5022679	5034592	8	5022492,5025008,5026279,5027934,5032052,5033407,5034581,5035652,	5022693,5025049,5026630,5028225,5032217,5033443,5035652,5036782,	O75144	uc032pqj.1
uc032pqk.1	chr21	+	5022492	5036782	5026479	5034592	8	5022492,5025008,5026431,5027934,5032052,5033407,5034581,5035652,	5022693,5025049,5026630,5028225,5032217,5033443,5035652,5036782,	NP_001269981	uc032pqk.1
uc032pql.1	chr21	+	5022492	5040668	5022679	5040616	7	5022492,5025008,5026279,5027934,5032052,5033407,5040584,	5022693,5025049,5026630,5028225,5032217,5033443,5040668,	O75144-2	uc032pql.1
uc032pqm.1	chr21	-	5116328	5128440	5117102	5128354	7	5116328,5118690,5121710,5124755,5125878,5127897,5128213,	5117231,5118847,5121803,5124875,5125992,5127950,5128440,	NP_004640	uc032pqm.1
uc032pqn.1	chr21	-	5116328	5128440	5117102	5128354	6	5116328,5118690,5124755,5125878,5127897,5128213,	5117231,5118847,5124875,5125992,5127950,5128440,	NP_937798	uc032pqn.1
uc032pqo.1	chr21	-	5130870	5154730	5131280	5154640	21	5130870,5133425,5133654,5133901,5135088,5135934,5137326,5139697,5140952,5141276,5141558,5142531,5143221,5144090,5146136,5146657,5147288,5147778,5148209,5152960,5154622,	5131455,5133500,5133805,5134120,5135154,5136043,5137474,5139878,5141103,5141424,5141707,5142668,5143292,5144234,5146366,5146793,5147432,5147878,5148304,5153073,5154730,	Q15269	uc032pqo.1
uc032pqp.1	chr21	-	5157011	5165472	5157011	5157011	3	5157011,5159079,5163517,	5158759,5159274,5165472,		uc032pqp.1
uc032pqq.1	chr21	-	5499150	5502542	5499150	5499150	3	5499150,5499998,5502368,	5499809,5500101,5502542,		uc032pqq.1
uc032pqr.1	chr21	+	5553668	5591710	5553668	5553668	4	5553668,5566124,5585822,5590018,	5553838,5566183,5585987,5591710,		uc032pqr.1
uc032pqs.1	chr21	+	5582920	5588538	5582920	5582920	2	5582920,5588136,	5585987,5588538,		uc032pqs.1
uc032pqt.1	chr21	+	5602943	5605679	5602943	5602943	1	5602943,	5605679,		uc032pqt.1
uc032pqu.1	chr21	-	5771291	5771357	5771291	5771291	1	5771291,	5771357,		uc032pqu.1
uc032pqv.1	chr21	-	5891875	5891941	5891875	5891875	1	5891875,	5891941,		uc032pqv.1
uc032pqw.1	chr21	-	5972923	5973383	5972923	5972923	1	5972923,	5973383,		uc032pqw.1
uc032pqx.1	chr21	+	6060339	6076171	6060339	6060339	4	6060339,6062523,6066866,6076003,	6060499,6062591,6067049,6076171,		uc032pqx.1
