665	CCDS74773.1	chr21	+	10538723	10605552	10538723	10605552	19	10538723,10541111,10542394,10559493,10561029,10567669,10569436,10569682,10570484,10577459,10578336,10578516,10590461,10592292,10595981,10598014,10602057,10603561,10605416,	10538734,10541165,10542448,10559544,10561191,10567789,10569536,10569746,10570549,10577520,10578418,10578605,10590523,10592373,10596087,10598094,10602150,10603632,10605552,	0		cmpl	cmpl	0,2,2,2,2,2,2,0,1,0,1,2,1,0,0,1,0,0,2,
665	CCDS74772.1	chr21	+	10538723	10605552	10538723	10605552	20	10538723,10541111,10542394,10552656,10559493,10561029,10567669,10569436,10569682,10570484,10577459,10578336,10578516,10590461,10592292,10595981,10598014,10602057,10603561,10605416,	10538734,10541165,10542448,10552716,10559544,10561191,10567789,10569536,10569746,10570549,10577520,10578418,10578605,10590523,10592373,10596087,10598094,10602150,10603632,10605552,	0		cmpl	cmpl	0,2,2,2,2,2,2,2,0,1,0,1,2,1,0,0,1,0,0,2,
665	CCDS74771.1	chr21	+	10538723	10605552	10538723	10605552	21	10538723,10541111,10542394,10543328,10552656,10559493,10561029,10567669,10569436,10569682,10570484,10577459,10578336,10578516,10590461,10592292,10595981,10598014,10602057,10603561,10605416,	10538734,10541165,10542448,10543382,10552716,10559544,10561191,10567789,10569536,10569746,10570549,10577520,10578418,10578605,10590523,10592373,10596087,10598094,10602150,10603632,10605552,	0		cmpl	cmpl	0,2,2,2,2,2,2,2,2,0,1,0,1,2,1,0,0,1,0,0,2,
10	CCDS13562.1	chr21	+	13610228	13641566	13610228	13641566	11	13610228,13615122,13615396,13618348,13620157,13622804,13628381,13629855,13630940,13639514,13641344,	13610749,13615237,13615570,13618455,13620295,13622875,13628452,13629900,13631107,13639638,13641566,	0		cmpl	cmpl	0,2,0,0,2,2,1,0,0,2,0,
86	CCDS13564.1	chr21	-	14108992	14206923	14108992	14206923	10	14108992,14144622,14152572,14163418,14165222,14166361,14181757,14185960,14189033,14206814,	14109080,14144799,14152684,14163523,14165390,14166451,14181859,14186069,14189419,14206923,	0		cmpl	cmpl	2,2,1,1,1,1,1,0,1,0,
693	CCDS46635.1	chr21	+	14216186	14227293	14216186	14227293	5	14216186,14219562,14221096,14224437,14226879,	14216282,14219725,14221169,14224537,14227293,	0		cmpl	cmpl	0,0,1,2,0,
694	CCDS13567.1	chr21	-	14373616	14383119	14373616	14383119	5	14373616,14375651,14378198,14381202,14383094,	14374284,14375819,14378412,14381543,14383119,	0		cmpl	cmpl	1,1,0,1,0,
695	CCDS74774.1	chr21	-	14485911	14516963	14485911	14516963	6	14485911,14498441,14500528,14510309,14512443,14516891,	14486114,14498592,14500735,14510461,14512573,14516963,	0		cmpl	cmpl	1,0,0,1,0,0,
86	CCDS58786.1	chr21	-	14485911	14582396	14485911	14582396	8	14485911,14498441,14500528,14510309,14512443,14516891,14521149,14582135,	14486114,14498592,14500735,14510461,14512573,14517041,14521221,14582396,	0		cmpl	cmpl	1,0,0,1,0,0,0,0,
695	CCDS42906.1	chr21	-	14485911	14546261	14485911	14546261	8	14485911,14498441,14500528,14510309,14512443,14516891,14521149,14546204,	14486114,14498592,14500735,14510461,14512573,14517041,14521221,14546261,	0		cmpl	cmpl	1,0,0,1,0,0,0,0,
699	CCDS13568.1	chr21	-	14964715	14968192	14964715	14968192	1	14964715,	14968192,	0		cmpl	cmpl	0,
88	CCDS63337.1	chr21	+	15730393	15878475	15730393	15878475	25	15730393,15762890,15765996,15777903,15791501,15799756,15805120,15808808,15811136,15818697,15824038,15824965,15826203,15826976,15830530,15831400,15833347,15842397,15849776,15864267,15866265,15870067,15874402,15877795,15878302,	15730438,15762968,15766141,15778027,15791664,15799843,15805258,15808885,15811210,15818846,15824166,15825061,15826365,15827203,15830601,15831629,15833548,15842540,15849872,15864446,15866344,15870147,15874526,15877991,15878475,	0		cmpl	cmpl	0,0,0,1,2,0,0,0,2,1,0,2,2,2,1,0,1,1,0,0,2,0,2,0,1,
88	CCDS63336.1	chr21	+	15730393	15878475	15730393	15878475	26	15730393,15762890,15765996,15777903,15791501,15799756,15805120,15808808,15811136,15818697,15824038,15824965,15826203,15826976,15830530,15831400,15833347,15842397,15847662,15849776,15864267,15866265,15870067,15874402,15877795,15878302,	15730438,15762968,15766141,15778027,15791664,15799843,15805258,15808885,15811210,15818846,15824166,15825061,15826365,15827203,15830601,15831629,15833548,15842540,15847776,15849872,15864446,15866344,15870147,15874526,15877991,15878475,	0		cmpl	cmpl	0,0,0,1,2,0,0,0,2,1,0,2,2,2,1,0,1,1,0,0,0,2,0,2,0,1,
88	CCDS33515.1	chr21	+	15730393	15878475	15730393	15878475	24	15730393,15762890,15765996,15777903,15791501,15799756,15805120,15808808,15811136,15818697,15824038,15824965,15826203,15826976,15830530,15831400,15833347,15842397,15864267,15866265,15870067,15874402,15877795,15878302,	15730438,15762968,15766141,15778027,15791664,15799843,15805258,15808885,15811210,15818846,15824166,15825061,15826365,15827203,15830601,15831629,15833548,15842540,15864446,15866344,15870147,15874526,15877991,15878475,	0		cmpl	cmpl	0,0,0,1,2,0,0,0,2,1,0,2,2,2,1,0,1,1,0,2,0,2,0,1,
